Ontology ID	label	parent class	Definition distilled from the GCW synthesis work	Definition's database cross reference	comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	SWEET cross reference	general cross reference	subclass axiom	creation date	created by
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	A oboInOwl:inSubset SPLIT=|	AI oboInOwl:hasDbXref	AI oboInOwl:hasDbXref SPLIT=|	SC % SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|
ENVO:3400008	lambing storm	snowfall	A snowfall which occurs during springtime and is of low intensity.	https://glossary.ametsoc.org/wiki/Lambing_storm	This term is primarily used in England and refers to snowfall in lambing season. It is referred to as a "storm" as it may adversly affect or kill newborn lambs.	https://glossary.ametsoc.org/wiki/Lambing_storm	Link this to spring once seasons are added to ENVO	lamb-blasts|lamb-showers|lamb storm				envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/LambingStorm			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400009	falling sleet	object aggregate	An object aggregate which is primarily composed of particles of water in liquid, frozen, or partially frozen states.  	https://orcid.org/0000-0003-4808-4736	WMO METEOTERM notes that other regions define this as a sudden brief rainfall with wind and hail but they don't state what those other regions are.  WMO, METEOTERM is available at https://www.wmo.int/pages/prog/lsp/meteoterm_wmo_en.html, Last accessed [26/01/2016].	https://www.nationalgeographic.org/encyclopedia/sleet/			sleet			envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/Sleet			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400010	precipitation of sleet	hydrological precipitation process	A hydrological precipitation process during which water falls in both liquid and frozen form.	https://orcid.org/0000-0003-4808-4736	In nature, water-based precipitation will likely always have some liquid and solid/frozen components (especially in higher atmospheric layers) - sleet is generally composed of these phases in comparable proportions. Note that formation processes differ between sleet and other frozen precipitation. For example, hail, being larger in size than sleet or ice pellets, is formed by the accumulation of layers of freezing water in the clouds. Sleet, however, is formed due to temperature difference in the atmosphere 	https://sciencestruck.com/sleet-hail-what-is-difference 		sleet fall	sleet			envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/Sleet			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400011	sleet pellet	ice mass	An ice mass which is primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes.	https://w1.weather.gov/glossary/index.php?word=sleet	The size of sleet pellets are considered to be, at most, the size of a pea, although thresholds vary across cultures.	https://www.nationalgeographic.org/encyclopedia/sleet/			sleet			envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/Sleet			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:00000429			A ridge which is jagged, narrow and separates glacier valleys or cirques. 	https://orcid.org/0000-0003-4808-4736	The ridge frequently resembles the blade of a serrated knife. A French term referring to the bones in a fish backbone. Aretes are typically formed when two glaciers erode parallel U-shaped valleys. Aretes can also form when two glacial cirques erode towards one another, although frequently this results in a saddle-shaped pass, called a col. 	https://en.wikipedia.org/wiki/Arete_%28landform%29|http://pubs.usgs.gov/of/2004/1216/a/a.html	Remove old defintion "A thin, almost knife-like, ridge of rock which ..."					envoPolar|envoCryo	http://sweetontology.net/realmLandGlacial/Arete			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:01000903												envoCryo					
ENVO:03000134												envoCryo					
ENVO:03000135												envoCryo					
ENVO:03000136												envoCryo					
ENVO:03000137												envoCryo					
ENVO:01000844												envoCryo					
ENVO:01001848												envoCryo					
ENVO:03000138												envoCryo					
ENVO:03000139												envoCryo					
ENVO:01001548												envoCryo					
ENVO:03000140												envoCryo					
